question	answer	source	meta
[Why is OmiseGO acquiring an exchange?]	See: [Why is OmiseGO acquiring an exchange?](https://kb.omgcommunity.org/kb#omisego-is-trying-to-buy-an-exchange-why-dont-u-instead-build-the-network-where-big-exchanges-like-binance-can-use-for-free-but-every-customer-using-it-will-have-to-pay-transaction-fee-on-omg-network-ofcourse-plus-the-fee-to-the-binance)	GitBookAMA	
[What is your level of confidence in OmiseGo?]	See: [What is your level of confidence in OmiseGo?](https://kb.omgcommunity.org/kb#whats-your-level-of-confidence-in-omisego-1-10)	GitBookAMA	
[How is OMG Network protected against 51% attacks on Ethereum?]	See: [How is OMG Network protected against 51% attacks on Ethereum?](https://kb.omgcommunity.org/kb#how-is-the-omg-network-protected-in-case-the-ethereum-main-chain-gets-a-51-attack)	GitBookAMA	
[Will ELEC tokens have reliance on Cosmos ZOMG token?]	See: [Will ELEC tokens have reliance on Cosmos ZOMG token?](https://kb.omgcommunity.org/kb#big-time-believer-in-omg-and-by-proxied-virtue-a-big-time-believer-in-elec-will-elec-tokens-need-to-have-a-reliance-less-than-equal-to-greater-than-omg-tokens-on-the-cosmos-hard-spoon-token-for-any-reason-thank-you-guys-for-all-you-do)	GitBookAMA	
[Will OmiseGo wallet support non fungible ERC721 tokens?]	See: [Will OmiseGo wallet support non fungible ERC721 tokens?](https://kb.omgcommunity.org/kb#will-omisego-wallet-support-non-fungible-erc721-type-tokens)	GitBookAMA	
[How quickly is OmiseGo growing?]	See: [How quickly is OmiseGo growing?](https://kb.omgcommunity.org/kb#how-quickly-is-omisegos-employee-count-growing-in-2018-considering-its-1-1-bn-market-cap)	GitBookAMA	
[Any plans for future expansion?]	See: [Any plans for future expansion?](https://kb.omgcommunity.org/kb#how-is-the-omg-team-going-you-have-been-recruiting-some-people-these-days-any-concrete-plans-for-the-future-and-expansion-how-many-people-are-in-the-team-now-ps-i-am-curious-about-how-stephen-mcnamara-is-doing-for-the-team)	GitBookAMA	
[Is the OmiseGO management team invested in OMG with personal funds?]	See: [Is the OmiseGO management team invested in OMG with personal funds?](https://kb.omgcommunity.org/kb#is-the-omisego-management-team-invested-in-this-project-with-their-own-personal-funds)	GitBookAMA	
[Who is best fortnite player on OmiseGO team?]	See: [Who is best fortnite player on OmiseGO team?](https://kb.omgcommunity.org/kb#whos-the-best-fortnite-player-out-of-all-the-omg-team)	GitBookAMA	
[What amount of OMG will be needed for staking?]	See: [What amount of OMG will be needed for staking?](https://kb.omgcommunity.org/kb#what-amount-of-omg-will-be-needed-for-staking-any-idea-on-that-already)	GitBookAMA	
[Which assets will OMG Network profits become?]	See: [Which assets will OMG Network profits become?](https://kb.omgcommunity.org/kb#however-profits-from-fees-during-the-poa-phase-will-be-used-to-buy-omg-tokens-which-will-then-be-burned-permanently-removed-from-circulation-resulting-in-a-decrease-in-total-supply-a-question-regarding-the-above-quote-from-the-roadmap-this-seems-implies-that-profits-from-fees-are-not-omg-tokens-but-other-type-of-assets-my-question-would-be-if-profits-are-having-various-types-if-does-what-would-be-a-practical-example)	GitBookAMA	
[What is Jun’s favorite kind of cigar?]	See: [What is Jun’s favorite kind of cigar?](https://kb.omgcommunity.org/kb#jun-what-is-your-favorite-kind-of-cigar-i-can-think-of-no-way-id-rather-celebrate-reaching-my-goals-with-omisego)	GitBookAMA	
